arquivo,estilo_real,estilo_llm,justificativa,elementos
sertanejo_Noite de Rodeio (1).mp3,sertanejo,sertanejo,"A música apresenta uma melodia marcante com a sanfona e o violão como instrumentos principais, acompanhada por vocais masculinos e um ritmo dançante e festivo. As letras evocam temas do campo e de festas tradicionais do interior, mencionando elementos como 'cheiro de terra', 'botas pisando no chão' e explicitamente 'rodeio' no refrão, características intrínsecas ao estilo sertanejo, especialmente o de raiz ou universitário.","sanfona, violão, bateria, baixo, vocais masculinos, ritmo festivo e dançante, elementos líricos que remetem a rodeios e vida rural"
sertanejo_Saudade na Estrada (2).mp3,sertanejo,sertanejo,"A música apresenta uma melodia melancólica com proeminência do violão acústico, gaita e um distintivo som de slide guitar/pedal steel, elementos muito característicos do sertanejo, especialmente o sertanejo 'raiz' ou com influências folk. O ritmo é suave e a temática lírica de saudade e paisagens rurais reforçam essa identificação.","violão acústico, gaita (harmônica), slide guitar / pedal steel, baixo, bateria (percussão leve), voz masculina"
rap_Vitória na Veia.mp3,rap,rap,"A música é predominantemente caracterizada pela vocalização rítmica falada (rap) de um homem, acompanhada por uma batida eletrônica forte e sintetizadores marcantes, incluindo um baixo profundo. Há também vocalizações femininas melancólicas que adicionam uma camada emotiva, mas o cerne da produção e da entrega vocal se alinha diretamente com o estilo rap, com uma 'vibe' urbana e poderosa.","vocal de rap masculino, vocalizações femininas melancólicas, batida eletrônica (drum machine), sintetizadores, linha de baixo proeminente"
sertanejo_Saudade na Estrada.mp3,sertanejo,sertanejo,"A música apresenta um violão acústico como instrumento principal, acompanhado por uma gaita (harmônica) melancólica e percussão leve. A melodia e o vocal são carregados de saudade, características marcantes do sertanejo de raiz e do sertanejo universitário mais acústico. A sonoridade remete ao estilo country brasileiro, com um ritmo descontraído e uma 'vibe' introspectiva e emotiva.","violão acústico, gaita (harmônica), percussão leve, vocal masculino emotivo, melodia melancólica"
rap_Voz da Rua.mp3,rap,rap,"A música apresenta vocalizações em forma de rap, acompanhadas por batidas de hip-hop com elementos de trap, como hi-hats rápidos. A melodia é construída com synths e piano, criando uma atmosfera urbana e reflexiva, condizente com o gênero.","rap vocals, electronic drums (kick, snare, hi-hats), synth pads, piano melody, hip-hop beat, trap elements"
funk_Dança do Groove Viral.mp3,funk,axé,"A música apresenta uma batida eletrônica vibrante e dançante, com uma linha de baixo proeminente e sintetizadores que criam uma atmosfera festiva e enérgica. O vocal masculino, com seu canto rítmico e chamados de 'rebola aí' e 'vai no groove, vai no flow', reforça a intenção de dança e celebração. Essa combinação de ritmo contagiante, instrumentação eletrônica e temática de festa é muito característica do Axé, especialmente em suas vertentes mais modernas e pop.","batida eletrônica de dança, linha de baixo proeminente e 'groovada', sintetizadores (pads e leads), vocal masculino enérgico e rítmico, elementos de 'call and response' nos vocais, letras que incentivam a dança e a festa"
funk_Funk do Tum-Tum-Tá (1).mp3,funk,funk,"A música apresenta batidas eletrônicas marcantes, com um ""kick"" e ""bass"" proeminentes que impulsionam o ritmo. Há a presença de ""samples"" vocais e ""synths"" característicos do gênero, criando uma atmosfera altamente dançante e energética, típica do funk brasileiro.","batida eletrônica forte e repetitiva, linha de baixo (""bass"") profunda e constante, sons de ""synth"" agudos e percussivos, efeitos sonoros característicos (risadas, ""scratches"" eletrônicos), vocais com frases curtas e repetitivas, estilo ""call and response"""
funk_Ela É Um Show (1).mp3,funk,funk,"A música apresenta uma batida eletrônica marcante, baixo sintetizado proeminente e vocal que mescla canto e rap. Esses elementos são fortemente característicos do funk brasileiro, especialmente o Funk Carioca, com sua sonoridade urbana e dançante.","batida eletrônica de dance music, baixo sintetizado marcante, vocal masculino com elementos de rap e canto, sintetizadores melódicos"
rockleve_FireintheBlood_FULL_SONG_MusicGPT.mp3,rockleve,rock,"A música apresenta uma instrumentação clássica de rock, com guitarras elétricas distorcidas, baixo proeminente, bateria com batida forte e vocais masculinos potentes. O ritmo é enérgico e a estrutura da canção, especialmente nos refrões, possui um caráter hino, características marcantes do gênero rock.","guitarra elétrica, bateria com batida forte, baixo, vocal masculino com pegada de rock, melodia cativante, refrão anthemic"
funk_Ela É Braba (1).mp3,funk,funk,"A música apresenta um ritmo eletrônico contagiante com uma batida forte e repetitiva, bumbo pesado e sub-bass marcante, além de vocalizações rítmicas e samples que criam uma atmosfera de festa e dança. Esses elementos são característicos do funk brasileiro.","bateria eletrônica com kick e bumbo marcantes, sub-bass pesado e contínuo, vocal samples rítmicos, voz masculina com flow rítmico e efeitos de processamento, efeitos sonoros percussivos (claps, sons de 'tic-tac'), sintetizadores com melodias simples e repetitivas"
funk_Solteiro no Baile (1).mp3,funk,funk,"A música apresenta uma batida eletrônica forte e repetitiva, com um baixo pesado e elementos percussivos característicos do funk brasileiro. As letras mencionam explicitamente 'baile funk' e descrevem uma atmosfera de festa, dança e liberdade, que são temas centrais do gênero.","baixo eletrônico pesado, batida eletrônica com síncopes, samples de vocalização ritmada, sintetizadores, vocalização falada e cantada, ritmo acelerado e dançante"
funk_Balanço na Favela.mp3,funk,funk,"A música apresenta uma batida eletrônica forte e repetitiva, com um subgrave proeminente e vocalizações que oscilam entre rap e canto melódico. Os elementos percussivos são eletrônicos e marcantes, criando uma atmosfera propícia para a dança, com letras que mencionam 'favela', 'batidão', 'rebola, mexe, desce e levanta'.","batida eletrônica forte, subgrave proeminente, vocais rítmicos (rap e canto melódico), elementos percussivos eletrônicos"
funk_Ela É Braba.mp3,funk,funk,"A música apresenta uma linha de baixo eletrônica pesada e proeminente, batidas de bateria eletrônica rítmicas e agressivas, e um vocal com entrega de rap e frases repetitivas. Esses elementos, combinados com a atmosfera de festa urbana e dançante, são características marcantes do Funk Brasileiro (Baile Funk).","baixo eletrônico pesado, bateria eletrônica rítmica, vocais de rap/chantados, sons percussivos 'pá pá pá' e 'tá tá tá', vibe de festa/clube"
sertanejo_Saudade que Abraça.mp3,sertanejo,mpb,"A música apresenta um arranjo predominantemente acústico, com violão marcante, vocal suave e melódico, e uma progressão harmônica que evoca nostalgia e lirismo. O ritmo é cadenciado e a 'vibe' é introspectiva e romântica, características fortes da Música Popular Brasileira.","violão acústico (base e melodia), vocal masculino com timbre suave, baixo elétrico, percussão leve (shaker, bateria com 'brush'), acordeon ou teclado discreto para preenchimento harmônico"
sertanejo_Saudade que Abraça (2).mp3,sertanejo,sertanejo,"A música apresenta violão acústico como base, uma sanfona com melodias características e um ritmo suave de balada romântica. A vocalização e a temática são típicas do gênero sertanejo, especialmente o romântico, que frequentemente incorpora esses elementos instrumentais.","violão acústico, sanfona/acordeon, baixo, bateria suave, vocal masculino melódico, clima romântico e nostálgico"
funk_PulaeGrita(FestaeAlegriaStudio)_FULL_SONG_MusicGPT.mp3,funk,axé,"A música apresenta um ritmo acelerado e contagiante, com forte presença de bateria eletrônica e sintetizadores. A melodia é vibrante e dançante, e os vocais femininos cantam em português com letras que incentivam a dança e a energia festiva (""Pule e grita"", ""Levanta a mão, bate o pé no chão""), características marcantes do Axé music.","bateria eletrônica marcante, sintetizadores vibrantes, baixo eletrônico contagiante, vocais femininos energéticos, ritmo dançante e acelerado"
funk_Solteiro e Solto.mp3,funk,funk,"A música apresenta um ritmo eletrônico marcante e repetitivo, com um grave proeminente e ""batidão"" característico. A vocalização, o tema de festa (""no baile"") e a energia são elementos centrais do funk brasileiro.","batida eletrônica forte e repetitiva, grave (sub-bass) intenso, sintetizadores percussivos, vocais com estilo call-and-response e partes faladas, ritmo acelerado e dançante"
rockleve_ThisIsMe_FULL_SONG_MusicGPT.mp3,rockleve,rock,"A música apresenta guitarras elétricas proeminentes com power chords e riffs, uma bateria com ritmo forte e constante, e vocais masculinos com uma performance enérgica e melódica. A estrutura da canção, a instrumentação e a ""vibe"" geral são características do rock moderno, com um toque pop-punk/arena rock.","guitarra elétrica distorcida, bateria com batida forte, baixo pulsante, vocal masculino melódico e potente, sintetizador de fundo"
sertanejo_Saudade Que Rasga (1).mp3,sertanejo,sertanejo,"A música apresenta uma melodia marcante com violão acústico como instrumento principal, acompanhado de vocais masculinos emotivos, baixo e bateria leve. O ritmo de balada lenta e a temática lírica de saudade e amor perdido, expressa com grande carga emocional, são características proeminentes do estilo sertanejo romântico, especialmente da subvertente da 'sofrência'.","violão acústico proeminente, vocais masculinos emotivos, ritmo de balada lenta, baixo, bateria leve"
funk_Vem no Tum-Tum-Tá (1).mp3,funk,rap,"A música apresenta uma batida eletrônica forte e marcada, com um baixo profundo e percussão que inclui sons de 'claps' e 'scratches', elementos clássicos do gênero. A vocalização é em formato de rima e declamação, com letras que fazem referências diretas à cultura de rua e ao hip-hop, como 'grave na pressão', 'som de lata', 'graffiti abraça' e 'ritmo quadrado'.","batida eletrônica com kick e snare proeminentes, baixo eletrônico pesado, vocais em estilo rap/spoken word, efeitos sonoros de scratch, claps rítmicos, ritmo constante e contagiante"
funk_Funk do Tum-Tum-Tá.mp3,funk,funk,"A música apresenta um ""batidão"" eletrônico pesado e repetitivo, com um grave (sub-bass) muito pronunciado que serve como elemento principal. As vocalizações são predominantemente faladas ou cantadas de forma rítmica, incitando o público a dançar e ""rebolar"", características marcantes do funk brasileiro, especialmente o funk carioca.","Batida eletrônica de kick drum forte e constante, Bassline sintetizado profundo e vibrante, Vocalizações faladas e chamativas ('hype man'), Uso de samples e efeitos eletrônicos, Ênfase na dança e no movimento corporal"
carimbo_2Dança na Areia.mp3,carimbo,carimbo,"A música apresenta um ritmo contagiante e dançante, com forte presença de sanfona (acordeão), percussão variada (como pandeiro, maraca, caxixi e reco-reco), violão e outros elementos que remetem diretamente ao estilo musical do Pará. A letra também faz menção explícita ao 'Carimbó' e seus elementos.","sanfona (acordeão), percussão (pandeiro, maraca, caxixi, reco-reco, bateria), violão, baixo, flauta, saxofone, ritmo alegre e dançante, vocal regional característico"
funk_Vem no Tum-Tum-Tá.mp3,funk,rap,"A música apresenta um vocal principal em forma de rima falada e rítmica (rap), sobre uma batida eletrônica forte e percussiva, com um baixo marcante e elementos sintetizados que criam uma atmosfera urbana e contagiante, característica do gênero.","Vocal rap masculino, Batida eletrônica marcante (kick, snare, hi-hat, claps), Linha de baixo eletrônica e profunda, Sintetizadores (pads, efeitos percussivos), Ad-libs vocais"
"funk_Vem, Vem, Dança!.mp3",funk,rap,"A música apresenta uma batida eletrônica forte e percussiva, acompanhada por uma linha de baixo marcante e vocais em estilo rap, com a presença de scratches de DJ. Esses elementos são característicos do gênero rap.","batida eletrônica, linha de baixo proeminente, vocais em rap (masculino), efeitos de DJ (scratches)"
rap_Vitória na Veia (1).mp3,rap,rap,"A música apresenta um ritmo cadenciado e forte, com batidas eletrônicas proeminentes e uma melodia sombria ao fundo. A voz principal se manifesta em forma de rima, com letras que transmitem superação e resiliência, características marcantes do gênero rap.","batida eletrônica marcante, melodia de fundo com sintetizadores, vocalização em rima (rap), letras com temática de superação e força, presença de samples melódicos e efeitos de áudio"
rock_5At Least.mp3,rock,rock,"A música apresenta guitarras elétricas distorcidas com riffs marcantes, uma bateria com batidas fortes e um ritmo acelerado e constante, além de um baixo proeminente. Os vocais são entregues com energia e paixão, variando entre canto melódico e gritos, transmitindo uma 'vibe' crua, intensa e por vezes rebelde, características do gênero rock.","guitarras elétricas distorcidas, bateria com batidas fortes e ritmo acelerado, baixo enérgico e presente, vocais passionais e urgentes (cantados e gritados), sonoridade crua e intensa"
rock_Contra Tudo (1).mp3,rock,rock,"A música apresenta guitarras elétricas distorcidas com riffs marcantes, uma bateria com batida rápida e potente, e vocais masculinos agressivos e um pouco gritados, características típicas do rock, com elementos que remetem ao punk rock ou hard rock.","guitarra elétrica distorcida, bateria com batida rápida e potente, baixo elétrico marcante, vocal masculino agressivo, ritmo acelerado, energia alta"
funk_Eu Gosto de Funk.mp3,funk,funk,"A música apresenta uma batida eletrônica acelerada e contagiante, linhas de baixo sintetizadas proeminentes e o uso de amostras vocais repetitivas e processadas (como 'Bass com Bass com'), elementos que são marcas registradas do funk brasileiro (Funk Carioca). A energia e a entrega vocal em português também são características do gênero.","batida eletrônica acelerada, linha de baixo sintetizada pulsante, amostras vocais processadas e repetitivas, vocais masculinos com energia e ritmo rápido, sintetizadores e efeitos eletrônicos"
rap_Vitória na Peleja.mp3,rap,rap,"A música apresenta um vocal principal em forma de rap, acompanhado por um beat eletrônico marcante, baixo pulsante e elementos de percussão característicos do gênero. A ""vibe"" é urbana e assertiva, com uma entrega vocal rítmica e falada, confirmando o estilo rap.","vocal de rap, beat eletrônico (hip-hop/trap), linha de baixo proeminente, elementos de percussão eletrônica, ocasional scratch/sample"
rock_Caminhos de Pedra.mp3,rock,rock,"A música apresenta guitarras elétricas com distorção proeminente, uma bateria marcante e uma linha de baixo pulsante, elementos que formam a espinha dorsal rítmica e melódica. O vocal masculino é potente e expressivo, e a ""vibe"" geral é energética e impactante, características clássicas do rock.","guitarra elétrica distorcida, bateria com batida forte, baixo, vocal masculino potente e expressivo, ritmo acelerado"
rock_Confusão Mental.mp3,rock,rock,"A música apresenta guitarras elétricas distorcidas, um ritmo de bateria forte e enérgico, e vocais potentes e melódicos, características inconfundíveis do rock.","guitarras elétricas distorcidas, bateria com batida forte e marcante, baixo proeminente, vocais masculinos potentes"
rock_At Least.mp3,rock,rock,"A música apresenta guitarras elétricas proeminentes com riffs marcantes, uma bateria com um ritmo forte e constante, e um vocal feminino potente e melódico, características clássicas do rock, com uma pegada que remete ao rock alternativo ou indie.","guitarra elétrica, baixo elétrico, bateria com batida forte, vocal feminino"
rock_Caminhos de Pedra (1).mp3,rock,rock,"A música apresenta guitarras elétricas distorcidas, uma bateria com batida forte e marcante, baixo pulsante e vocais com timbre característico do gênero, além de solos de guitarra que são elementos essenciais do rock.","guitarra elétrica distorcida, bateria com ritmo rock, baixo elétrico, vocais masculinos potentes, solos de guitarra"
rock_Corações de Aço.mp3,rock,rock,"A música apresenta guitarras elétricas distorcidas, uma bateria com ritmo forte e ""punchy"", e vocais masculinos potentes e expressivos, elementos que são centrais ao gênero rock.","guitarra elétrica com distorção, bateria com ritmo acelerado e pesado, baixo marcante, vocais masculinos potentes, riffs de guitarra proeminentes"
rock_Contra Tudo.mp3,rock,rock,"A música apresenta guitarras elétricas distorcidas com riffs marcantes, bateria com batida forte e rápida, baixo proeminente e vocais masculinos enérgicos e potentes, características sonoras predominantes do estilo rock.","Guitarra elétrica distorcida, Bateria pesada, Baixo, Vocais masculinos potentes, Riffs de guitarra, Ritmo acelerado"
rap_Street Shadows (1).mp3,rap,rap,"A música apresenta um ritmo eletrônico marcado, uma linha de baixo profunda e vocais falados em estilo rap, que narram histórias urbanas, elementos típicos do gênero.","batida de bateria eletrônica, voz de rap, linha de baixo eletrônica, sintetizadores atmosféricos"
rock_Abismo da Eternidade (1).mp3,rock,rock,"A música apresenta guitarras distorcidas e pesadas, bateria com batidas rápidas e agressivas (incluindo bumbo duplo), baixo marcante e vocais rasgados/guturais, características típicas do heavy metal, um subgênero do rock.","guitarras elétricas distorcidas, bateria com ritmo acelerado e bumbo duplo, baixo proeminente, vocais rasgados/guturais, atmosfera intensa e agressiva"
funk_Solteiro e Solto (1).mp3,funk,funk,"A música apresenta uma batida eletrônica marcante com um bass pesado e repetitivo, vocais vibrantes e percussão característica do funk brasileiro. A letra também faz referência direta ao 'ritmo do funk' e à dança, reforçando a identidade do gênero.","batida eletrônica, baixo sintetizado (synth bass), percussão eletrônica, sintetizadores, vocais femininos energéticos, ritmo dançante e repetitivo"
rock_4At Least.mp3,rock,rock,"A música apresenta guitarras elétricas proeminentes (limpas e distorcidas), um baixo marcante e uma bateria com ritmo pulsante, além de um vocal feminino potente. A estrutura e a intensidade da canção, com refrões energéticos e vocais passionais, são características do gênero rock, com elementos de rock alternativo.","Vocal feminino potente e expressivo, Guitarra elétrica com riffs e distorção, Guitarra acústica, Baixo elétrico com linhas marcantes, Bateria com batida forte e pulsante, Estrutura de canção rock com versos e refrão enérgicos"
sertanejo_Saudade que Abraça (3).mp3,sertanejo,sertanejo,"A música apresenta uma melodia romântica e melancólica, com destaque para o violão acústico e a sanfona, instrumentos muito característicos do sertanejo. O ritmo de balada e a interpretação vocal evocam a 'sofrência', emoção comum nesse estilo musical.","violão acústico, sanfona (acordeon), baixo, bateria (percussão leve), voz masculina, melodia romântica, ritmo de balada"
funk_Viral 2024.mp3,funk,funk,"A música apresenta um ritmo eletrônico contagiante com um 'beat' forte e repetitivo, linhas de baixo proeminentes e vocais que ditam movimentos de dança como 'rebola' e 'desce, sobe'. A sonoridade é construída para a pista de dança, características marcantes do funk brasileiro.","batida eletrônica forte e repetitiva, linha de baixo marcante, sintetizadores, vocal feminino com frases curtas e rítmicas, êxtase musical"
hiphop_Do Nada pra Cima.mp3,hiphop,rap,"A música apresenta vocalizações de rap em português sobre uma batida de trap moderna, caracterizada por um proeminente baixo 808, hi-hats acelerados e melodias de sintetizador atmosféricas. Estes são elementos fundamentais do gênero rap, especificamente do subgênero trap.","voz de rap em português, batida de trap, baixo 808, hi-hats acelerados, sintetizadores melódicos"
funk_solteiro no baile.mp3,funk,funk,"A música apresenta uma batida eletrônica forte e repetitiva, com uma linha de baixo proeminente e vocais falados/cantados que chamam para a dança. Há também a menção explícita a 'baile funk' nas letras, características claras do gênero Funk Carioca.","batida eletrônica pesada, linha de baixo marcante, vocais com frases de efeito e comando, efeitos sonoros de scratching, sintetizadores"
funk_Bateu no TikTok.mp3,funk,funk,"A música apresenta um beat eletrônico forte e marcante, com um baixo pesado e sintetizado, característicos do Funk Brasileiro. A vocalização é ritmada e falada, direcionada para a dança, com letras que mencionam a cultura de internet e redes sociais.","batida eletrônica proeminente, baixo sintetizado pesado, vocais ritmados e falados (rap/canto), elementos de hype (ad-libs, gritos), loop de bateria eletrônica"
carimbo_2Lenda de Iara.mp3,carimbo,pagode,"A música apresenta cavaquinho, violão e percussão característica, como pandeiro, com um ritmo sincopado e uma melodia vocal que se encaixam perfeitamente no estilo pagode, subgênero do samba. A vibe é festiva e tipicamente brasileira.","cavaquinho, violão, pandeiro, percussão brasileira, vocal feminino, coro"
funk_Rebola no Grave (1).mp3,funk,funk,"A música é caracterizada por uma batida eletrônica extremamente forte e repetitiva, com um grave proeminente que domina a melodia. As vozes, predominantemente femininas, são cantadas ou faladas em ritmo acelerado, com comandos de dança explícitos ('rebola no grave', 'desce, sobe, vem quebrar'), elementos centrais do Funk Carioca.","grave eletrônico pesado, batida eletrônica de bateria, sintetizadores, vocais femininos em estilo cantado/falado, efeitos sonoros como 'pling tac' e sirenes"
rock_Do Nada pra Cima.mp3,rock,rock,"A música apresenta guitarras elétricas distorcidas, bateria com ritmo acelerado e um baixo marcante, além de um vocal masculino enérgico e solos de guitarra melódicos, características proeminentes do estilo rock.","guitarras elétricas distorcidas, bateria com ritmo acelerado, baixo marcante, vocal masculino enérgico, solo de guitarra"
rock_Chaos Unbound.mp3,rock,rock,"A música apresenta guitarras elétricas fortemente distorcidas com riffs complexos, bateria rápida com uso intenso de bumbo duplo, e vocais masculinos agressivos. Essas características são típicas do heavy metal, um subgênero do rock.","guitarras elétricas distorcidas, bateria com bumbo duplo, vocais agressivos, baixo proeminente"
funk_Viral 2024 (1).mp3,funk,funk,"A música apresenta batidas eletrônicas intensas, linhas de baixo proeminentes, e vocais que incentivam movimentos de dança como 'rebola' e 'faz o quadradinho'. Esses elementos, aliados ao ritmo acelerado e à sonoridade club, são características marcantes do funk brasileiro.","batida eletrônica marcante, baixo sintetizado pesado, vocais femininos com ad-libs, referências a danças específicas (rebolar, quadradinho), efeitos de scratch e transição, ritmo acelerado e contagiante"
funk_Rebola no Grave.mp3,funk,funk,"A música apresenta um ritmo eletrônico marcante com forte ênfase no grave (bass 808), batidas eletrônicas percussivas e vocais femininos cantados em estilo repetitivo e dançante, características típicas do funk brasileiro.","Bass 808 proeminente, Batida de kick e snare eletrônicos, Sons de percussão sintetizados ('plin', 'tack-tack'), Vocais femininos com ad-libs e falas rítmicas, Ritmo sincopado e dançante"
rock_Abyssal Flames of the Amazon (1).mp3,rock,rock,"A música apresenta guitarras pesadas e distorcidas, bateria com uso proeminente de bumbo duplo e andamento rápido, vocais guturais e gritados, e uma atmosfera intensa e agressiva, características marcantes do Heavy Metal, um subgênero do rock.","Guitarras elétricas pesadamente distorcidas, Bateria com bumbo duplo e ritmos rápidos, Vocais guturais e gritados (growls/screams), Baixo elétrico marcante, Tempo rápido e energia elevada"
rock_Cidades Lotadas.mp3,rock,rock,"A música apresenta um ritmo forte e constante, guitarras elétricas distorcidas com riffs marcantes, baixo proeminente e bateria com batidas poderosas, elementos característicos do rock. A ""vibe"" é energética e com um toque de crítica social nas letras, reforçando a identidade do gênero.","guitarra elétrica distorcida, baixo, bateria, vocal masculino"
mpb_Caminho das Estrelas.mp3,mpb,mpb,"A música é predominantemente acústica, com destaque para o violão e vocais suaves e harmoniosos (masculino e feminino). A melodia é introspectiva e poética, com um ritmo calmo e cadenciado, características que se alinham perfeitamente com a Música Popular Brasileira (MPB).","violão acústico (dedilhado e com leves batidas), vocal principal masculino, vocal principal feminino, coro/backing vocals harmoniosos, baixo sutil, percussão leve (possivelmente shaker ou pandeiro suave)"
rock_2Cidades Lotadas.mp3,rock,rock,"A música apresenta guitarras elétricas distorcidas e proeminentes, bateria com um ritmo forte e constante, e vocais masculinos enérgicos e potentes. A sonoridade geral é alta, com uma 'vibe' crua e de alta energia, características marcantes do rock, em especial do hard rock ou punk rock.","guitarra elétrica distorcida, bateria com ritmo acelerado e constante, baixo marcante, vocal masculino potente e enérgico"
rock_Abyssal Flames of the Amazon.mp3,rock,rock,"A música apresenta guitarras elétricas fortemente distorcidas, bateria agressiva com uso proeminente de bumbo duplo, baixo pesado e vocais guturais/gritados. O ritmo é acelerado e a sonoridade é intensa e poderosa, características do heavy metal, que se enquadra na categoria rock.","Guitarras elétricas distorcidas, Bateria agressiva com bumbo duplo, Baixo pesado, Vocais masculinos guturais/gritados, Tempo rápido, Riffs de guitarra pesados, Atmosfera intensa e agressiva"
rock_Admirável Fúria.mp3,rock,rock,"A música apresenta guitarras elétricas distorcidas, uma bateria com batida forte e marcante, baixo pulsante e vocais masculinos com um tom potente e melódico, característicos do gênero rock, especialmente o rock brasileiro.","guitarras elétricas distorcidas, bateria com ritmo acelerado e forte, baixo proeminente, vocais masculinos potentes e melódicos, estrutura de música rock com versos e refrão impactante, solo de guitarra"
funk_Dançando Sem Parar (1).mp3,funk,funk,"A música apresenta um ritmo eletrônico contagiante com batidas fortes e repetitivas, graves acentuados e marcantes, e uma vocalização que alterna entre canto e falas ritmadas, com ênfase em temas de dança e autoconfiança. Estes são elementos centrais do estilo Funk Carioca, caracterizado pela energia para a pista de dança e a sonoridade eletrônica pesada.","Batida eletrônica proeminente com forte kick e snare, Linha de baixo eletrônica profunda e pulsante, Sintetizadores e efeitos sonoros característicos (como o 'tum tum tum'), Voz feminina com entrega enérgica e direta, Samples vocais e ad-libs, Estrutura com 'build-ups' e 'drops' que intensificam o ritmo"
carimbo_Balanço do Coração.mp3,carimbo,forró,"A música apresenta a sanfona (acordeão) como instrumento principal e melódico, acompanhada por um ritmo vibrante e dançante, características marcantes do forró, um gênero musical tradicional do Nordeste brasileiro. A batida e a 'vibe' romântica e festiva reforçam essa identificação.","sanfona (acordeão), baixo, bateria com ritmo sincopado, guitarra, vocal masculino"
rock_Abyssal Devourer.mp3,rock,rock,"A música apresenta riffs de guitarra elétrica pesados e distorcidos, bateria com ritmo rápido e uso proeminente de bumbo duplo, baixo marcante e vocais masculinos agressivos e guturais, características típicas do rock pesado, especificamente do metal. A 'vibe' é de alta energia e intensidade.","Guitarra elétrica distorcida com riffs pesados, Bateria com ritmo rápido e intenso, incluindo uso de bumbo duplo, Baixo com presença marcante, Vocais masculinos guturais e gritados, Solo de guitarra elétrico"
mpb_Caminho das Estrelas (1).mp3,mpb,mpb,"A música apresenta uma melodia suave e introspectiva, dominada pelo violão acústico e uma voz masculina calma. O ritmo lento e a harmonia rica, em conjunto com a atmosfera contemplativa e as letras poéticas, são características marcantes da Música Popular Brasileira (MPB), que abrange canções autorais com foco na letra e arranjos mais orgânicos.","violão acústico, voz masculina suave, baixo melódico, percussão minimalista (brushes/shaker), atmosfera introspectiva e calma"
carimbo_Amor no Balançar (1).mp3,carimbo,forró,"A música apresenta a sanfona (acordeon) como instrumento principal, ditando a melodia e harmonia, acompanhada por uma percussão marcante e um baixo que cria um ritmo dançante característico do xote, um subgênero do forró. O saxofone complementa a melodia, reforçando a sonoridade típica do Nordeste brasileiro. A 'vibe' é festiva e romântica, alinhada com as canções do gênero.","sanfona (acordeon), saxofone, baixo, bateria com ritmo de xote, percussão, vocais em português"
rock_Ecos do Caos.mp3,rock,rock,"A música apresenta guitarras elétricas fortemente distorcidas com riffs e power chords, uma bateria com batidas rápidas e marcantes, baixo proeminente e vocais intensos. Esses são elementos característicos do rock, especialmente suas vertentes mais pesadas, como o hard rock ou heavy metal.","guitarras elétricas distorcidas, bateria com batida pesada e rápida, baixo proeminente, vocais intensos, riffs de guitarra potentes"
carimbo_2Gira do Curimbó.mp3,carimbo,carimbo,"A música apresenta um ritmo percussivo forte e contagiante, com destaque para a guitarra acústica e vocais femininos. A letra faz menção explícita a 'Curimbó' e 'Pará', elementos centrais do gênero carimbó, uma dança e estilo musical tradicional originário do estado do Pará, na região Norte do Brasil. A 'vibe' é festiva e comunitária, características marcantes do carimbó.","violão acústico, percussão (tambor, curimbó, chocalhos), baixo elétrico, vocal feminino principal, vocais de apoio, ritmo dançante e tribal"
rock_Abismo da Eternidade.mp3,rock,rock,"A música apresenta guitarras elétricas fortemente distorcidas, bateria rápida e poderosa, baixo proeminente e vocais guturais e agressivos, características marcantes do heavy metal, um subgênero do rock que enfatiza a intensidade e a sonoridade pesada.","guitarras elétricas distorcidas, bateria com ritmo intenso e rápido, baixo pulsante, vocais guturais/agressivos"
rock_Fragmentos do Amanhã (1).mp3,rock,rock,"A música apresenta guitarras elétricas proeminentes, tanto com riffs limpos e melancólicos quanto com distorção e power chords. A bateria é marcante, com um ritmo pulsante e enérgico, e o baixo fornece uma base sólida. Os vocais são fortes e expressivos, complementando a sonoridade característica do rock, com uma construção dinâmica que cresce em intensidade.","guitarra elétrica (limpa e distorcida), baixo elétrico, bateria, vocal masculino"
carimbo_Amor no Balançar.mp3,carimbo,mpb,"A música apresenta um violão acústico como base, uma flauta melódica e percussão leve, com um ritmo suave e uma 'vibe' introspectiva e poética, elementos característicos da Música Popular Brasileira. A harmonia e a melodia vocal também reforçam a identidade do gênero.","violão acústico, flauta, percussão leve (possivelmente pandeiro/cajón), vocal masculino melódico em português, ritmo suave e cadenciado"
rock_2At Least.mp3,rock,rock,"A música apresenta guitarras elétricas com efeitos de overdrive e distorção, bateria com batidas fortes e marcantes, e uma linha de baixo que sustenta a melodia. A estrutura da canção, a energia vocal e a instrumentação são características típicas do rock, especialmente do rock alternativo ou indie rock.","guitarras elétricas (limpas e distorcidas), bateria com ritmo marcante e batidas fortes, baixo proeminente, vocal melódico e expressivo, progressão de acordes e arranjos típicos de rock"
carimbo_2Dança da Maré.mp3,carimbo,carimbo,"A música apresenta uma instrumentação característica com percussão marcante, incluindo o curimbó (mencionado explicitamente na letra), maracás e flauta, que são elementos fundamentais do carimbó. O ritmo é contagiante, dançante e evoca a cultura amazônica, especialmente do Pará, onde o estilo é predominante. A vibração geral é festiva e alegre, típica do gênero.","percussão (curimbó e maracás), flauta, violão, baixo, vocal feminino, coro, ritmo dançante e sincopado"
